path,class,owner,source_of_truth,runbook,run_command,dependencies,notes
runtime/launchpad/server.py,runtime,core-runtime,runtime/launchpad/server.py,docs/runbooks/runtime-synthetic.md,python3 runtime/launchpad/server.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/backfill_synthetic_backtest.py,runtime,core-runtime,runtime/synthetic/backfill_synthetic_backtest.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/backfill_synthetic_backtest.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/backfill_v2/__init__.py,runtime,core-runtime,runtime/synthetic/backfill_v2/__init__.py,docs/runbooks/runtime-synthetic.md,,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/backfill_v2/fast_db.py,runtime,core-runtime,runtime/synthetic/backfill_v2/fast_db.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/backfill_v2/fast_db.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/backfill_v2/runner.py,runtime,core-runtime,runtime/synthetic/backfill_v2/runner.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/backfill_v2/runner.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/engine.py,runtime,core-runtime,runtime/synthetic/engine.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/engine.py --pairs BTC-USD ETH-USD,indicators.indicator_values; indicators.ohlcv_1m/5m/15m; indicators.order_book_indicators; indicators.oi_features,
runtime/synthetic/run_all_signal_producers.py,runtime,core-runtime,runtime/synthetic/run_all_signal_producers.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/run_all_signal_producers.py,indicators.indicator_values; indicators.ohlcv_1m/5m/15m; indicators.order_book_indicators; indicators.oi_features,
runtime/synthetic/t0_cvd_price_divergence_velocity.py,runtime,core-runtime,runtime/synthetic/t0_cvd_price_divergence_velocity.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/t0_cvd_price_divergence_velocity.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/t0_mtf_signed_efficiency_ratio.py,runtime,core-runtime,runtime/synthetic/t0_mtf_signed_efficiency_ratio.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/t0_mtf_signed_efficiency_ratio.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/t0_rsi_velocity_5m.py,runtime,core-runtime,runtime/synthetic/t0_rsi_velocity_5m.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/t0_rsi_velocity_5m.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/t1_atr_normalized_reversal_pressure.py,runtime,core-runtime,runtime/synthetic/t1_atr_normalized_reversal_pressure.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/t1_atr_normalized_reversal_pressure.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/t1_early_momentum_divergence_score.py,runtime,core-runtime,runtime/synthetic/t1_early_momentum_divergence_score.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/t1_early_momentum_divergence_score.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/t1_multitimeframe_trend_confluence.py,runtime,core-runtime,runtime/synthetic/t1_multitimeframe_trend_confluence.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/t1_multitimeframe_trend_confluence.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/t1_rsi_volatility_normalized_velocity.py,runtime,core-runtime,runtime/synthetic/t1_rsi_volatility_normalized_velocity.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/t1_rsi_volatility_normalized_velocity.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/t1_window_edge_57to01_nonrolling.py,runtime,core-runtime,runtime/synthetic/t1_window_edge_57to01_nonrolling.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/t1_window_edge_57to01_nonrolling.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/t2_early_impulse_liquidity_alignment_2m.py,runtime,core-runtime,runtime/synthetic/t2_early_impulse_liquidity_alignment_2m.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/t2_early_impulse_liquidity_alignment_2m.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/t2_oi_funding_impulse_confirmation_2m.py,runtime,core-runtime,runtime/synthetic/t2_oi_funding_impulse_confirmation_2m.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/t2_oi_funding_impulse_confirmation_2m.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/t2_order_flow_acceleration_regime.py,runtime,core-runtime,runtime/synthetic/t2_order_flow_acceleration_regime.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/t2_order_flow_acceleration_regime.py,See docs/runbooks/runtime-synthetic.md,
runtime/synthetic/window/t2_window_down_signal.py,runtime,core-runtime,runtime/synthetic/window/t2_window_down_signal.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/window/t2_window_down_signal.py,indicators.ohlcv_1m,
runtime/synthetic/window/t2_window_up_signal.py,runtime,core-runtime,runtime/synthetic/window/t2_window_up_signal.py,docs/runbooks/runtime-synthetic.md,python3 runtime/synthetic/window/t2_window_up_signal.py,indicators.ohlcv_1m,
scripts/backfill_raw_trades_from_coinbase.py,ops,ops-reliability,scripts/backfill_raw_trades_from_coinbase.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/backfill_raw_trades_from_coinbase.py,public.raw_trades; indicators.aggregate_ohlcv_1m(); indicators.fn_backfill_ohlcv(...),
scripts/btc_1h_baseline/train_btc_1h_base_model.py,research,quant-research,scripts/btc_1h_baseline/train_btc_1h_base_model.py,docs/research/research-catalog.md,python3 scripts/btc_1h_baseline/train_btc_1h_base_model.py,Read-only analytics on indicators/training schemas,
scripts/codex_signals_playground/dashboard_core.py,research,quant-research,scripts/codex_signals_playground/dashboard_core.py,docs/research/research-catalog.md,python3 scripts/codex_signals_playground/dashboard_core.py,Read-only analytics on indicators/training schemas,
scripts/codex_signals_playground/run_realtime_dashboard.py,research,quant-research,scripts/codex_signals_playground/run_realtime_dashboard.py,docs/research/research-catalog.md,python3 scripts/codex_signals_playground/run_realtime_dashboard.py,Read-only analytics on indicators/training schemas,
scripts/compare_training_vs_indicators_15m.py,research,quant-research,scripts/compare_training_vs_indicators_15m.py,docs/research/research-catalog.md,python3 scripts/compare_training_vs_indicators_15m.py,Read-only analytics on indicators/training schemas,
scripts/eth_snapshot/generate_response_json.py,research,quant-research,scripts/eth_snapshot/generate_response_json.py,docs/research/research-catalog.md,python3 scripts/eth_snapshot/generate_response_json.py,Read-only analytics on indicators/training schemas,
scripts/export_missing_ohlcv_1m_minutes.py,ops,ops-reliability,scripts/export_missing_ohlcv_1m_minutes.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/export_missing_ohlcv_1m_minutes.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/generate_schema_reference_docs.py,research,quant-research,scripts/generate_schema_reference_docs.py,docs/research/research-catalog.md,python3 scripts/generate_schema_reference_docs.py,Read-only analytics on indicators/training schemas,
scripts/healthcheck_all.py,ops,ops-reliability,scripts/healthcheck_all.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/healthcheck_all.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/indicator_sigma_sweeps/run_two_indicator_sweeps.py,research,quant-research,scripts/indicator_sigma_sweeps/run_two_indicator_sweeps.py,docs/research/research-catalog.md,python3 scripts/indicator_sigma_sweeps/run_two_indicator_sweeps.py,Read-only analytics on indicators/training schemas,
scripts/ops/check_postgrest_required_schemas.py,ops,ops-reliability,scripts/ops/check_postgrest_required_schemas.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/ops/check_postgrest_required_schemas.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/ops/recovery_snapshot.py,ops,ops-reliability,scripts/ops/recovery_snapshot.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/ops/recovery_snapshot.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/ops_snapshot_ohlcv_state.py,ops,ops-reliability,scripts/ops_snapshot_ohlcv_state.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/ops_snapshot_ohlcv_state.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/report_missing_ohlcv_lookback_7d.py,ops,ops-reliability,scripts/report_missing_ohlcv_lookback_7d.py,docs/runbooks/indicator-pipeline-recovery.md,python3 scripts/report_missing_ohlcv_lookback_7d.py,See docs/runbooks/indicator-pipeline-recovery.md,
scripts/scripts_past/audit_rollup_alignment.py,archive,archive-maintainer,scripts/scripts_past/audit_rollup_alignment.py,docs/architecture/repo-script-classification.md,python3 scripts/scripts_past/audit_rollup_alignment.py,Legacy scripts; do not execute in production,Phase 1 retained for reference only
scripts/scripts_past/backfill_labels.py,archive,archive-maintainer,scripts/scripts_past/backfill_labels.py,docs/architecture/repo-script-classification.md,python3 scripts/scripts_past/backfill_labels.py,Legacy scripts; do not execute in production,Phase 1 retained for reference only
scripts/scripts_past/backfill_rollups_missing_only.py,archive,archive-maintainer,scripts/scripts_past/backfill_rollups_missing_only.py,docs/architecture/repo-script-classification.md,python3 scripts/scripts_past/backfill_rollups_missing_only.py,Legacy scripts; do not execute in production,Phase 1 retained for reference only
scripts/scripts_past/check_success_criteria.py,archive,archive-maintainer,scripts/scripts_past/check_success_criteria.py,docs/architecture/repo-script-classification.md,python3 scripts/scripts_past/check_success_criteria.py,Legacy scripts; do not execute in production,Phase 1 retained for reference only
scripts/scripts_past/export_predictions.py,archive,archive-maintainer,scripts/scripts_past/export_predictions.py,docs/architecture/repo-script-classification.md,python3 scripts/scripts_past/export_predictions.py,Legacy scripts; do not execute in production,Phase 1 retained for reference only
scripts/scripts_past/migrate.py,archive,archive-maintainer,scripts/scripts_past/migrate.py,docs/architecture/repo-script-classification.md,python3 scripts/scripts_past/migrate.py,Legacy scripts; do not execute in production,Phase 1 retained for reference only
