config_id,indicator_name,category,timeframe,params,output_columns,description
adl_50_15m,adl,volume,15m,"{""lookback"": 50}","{""v1"": ""value""}",Accumulation/Distribution Line (50) on 15-minute
adl_50_1h,adl,volume,1h,"{""lookback"": 50}","{""v1"": ""value""}",Accumulation/Distribution Line (50) on 1-hour
adx_14_15m,adx,trend,15m,"{""period"": 14}","{""v1"": ""adx"", ""v2"": ""plus_di"", ""v3"": ""minus_di""}",ADX (14) with +DI/-DI on 15-minute candles
adx_14_1h,adx,trend,1h,"{""period"": 14}","{""v1"": ""adx"", ""v2"": ""plus_di"", ""v3"": ""minus_di""}",ADX (14) with +DI/-DI on 1-hour candles
adx_14_5m,adx,trend,5m,"{""period"": 14}","{""v1"": ""adx"", ""v2"": ""plus_di"", ""v3"": ""minus_di""}",ADX (14) with +DI/-DI on 5-minute candles
adx_20_15m,adx,trend,15m,"{""period"": 20}","{""v1"": ""adx"", ""v2"": ""plus_di"", ""v3"": ""minus_di""}",ADX (20) smoother on 15-minute candles
aroon_14_15m,aroon,trend,15m,"{""period"": 14}","{""v1"": ""aroon_up"", ""v2"": ""aroon_down"", ""v3"": ""oscillator""}",Aroon (14) faster on 15-minute candles
aroon_25_15m,aroon,trend,15m,"{""period"": 25}","{""v1"": ""aroon_up"", ""v2"": ""aroon_down"", ""v3"": ""oscillator""}",Aroon (25) standard on 15-minute candles
aroon_25_1h,aroon,trend,1h,"{""period"": 25}","{""v1"": ""aroon_up"", ""v2"": ""aroon_down"", ""v3"": ""oscillator""}",Aroon (25) standard on 1-hour candles
ask_depth_10bps,ask_depth_10bps,order_book,snapshot,"{""source_table"": ""order_book_indicators"", ""source_column"": ""ask_depth_10bps""}","{""v1"": ""ask_depth_10bps""}",Order book indicator from indicators.order_book_indicators: ask_depth_10bps
ask_depth_25bps,ask_depth_25bps,order_book,snapshot,"{""source_table"": ""order_book_indicators"", ""source_column"": ""ask_depth_25bps""}","{""v1"": ""ask_depth_25bps""}",Order book indicator from indicators.order_book_indicators: ask_depth_25bps
ask_depth_50bps,ask_depth_50bps,order_book,snapshot,"{""source_table"": ""order_book_indicators"", ""source_column"": ""ask_depth_50bps""}","{""v1"": ""ask_depth_50bps""}",Order book indicator from indicators.order_book_indicators: ask_depth_50bps
ask_slope,ask_slope,order_book,snapshot,"{""source_table"": ""order_book_indicators"", ""source_column"": ""ask_slope""}","{""v1"": ""ask_slope""}",Order book indicator from indicators.order_book_indicators: ask_slope
atr_14_15m,atr,volatility,15m,"{""period"": 14}","{""v1"": ""value""}",Average True Range (14) on 15-minute candles
